market,date,week,revenue,tv_spend,facebook_spend,search_spend,ooh_spend,print_spend,competitor_price,events,trend,seasonality,promotions
BE,2020-01-06,1,351431.1,19795.42,7337.69,6615.52,5914.65,3730.18,102.04,1.0,1.0002,0.75,0.0
BE,2020-01-13,2,401586.49,17496.96,11160.43,9637.25,4982.73,5106.53,105.66,0.0,1.0005,0.7758,0.0
BE,2020-01-20,3,438134.06,20887.54,8982.88,9886.84,5666.37,3374.96,95.89,0.0,1.0007,0.8037,1.0
BE,2020-01-27,4,408947.76,13038.71,9117.38,13540.1,7389.13,4136.8,100.08,0.0,1.0009,0.8326,0.0
BE,2020-02-03,5,433710.01,26119.5,10675.23,6476.68,5208.95,3755.23,99.96,0.0,1.0011,0.8609,0.0
BE,2020-02-10,6,476604.74,22587.31,9975.16,9663.94,4878.06,4577.27,90.86,0.0,1.0014,0.8878,0.0
BE,2020-02-17,7,470896.0,17135.94,12096.18,13029.98,6139.76,3496.49,104.39,0.0,1.0016,0.9121,0.0
BE,2020-02-24,8,444909.04,18483.45,8513.18,9961.12,4860.28,5800.87,83.51,0.0,1.0018,0.9335,0.0
BE,2020-03-02,9,467041.7,13921.93,7606.55,10195.21,4151.7,2794.97,117.53,0.0,1.0021,0.9515,0.0
BE,2020-03-09,10,460287.55,19922.62,9970.17,8857.41,5937.87,5710.15,107.93,0.0,1.0023,0.9661,0.0
BE,2020-03-16,11,487734.88,19300.27,10810.06,8689.08,8265.62,4349.45,106.39,0.0,1.0025,0.9777,0.0
BE,2020-03-23,12,469660.69,15749.52,8055.52,6801.74,6378.94,4759.22,82.63,0.0,1.0028,0.9866,0.0
BE,2020-03-30,13,500865.46,24786.54,7749.67,9377.03,6666.04,5436.01,92.07,1.0,1.003,0.9938,0.0
BE,2020-04-06,14,475304.6,26912.89,11110.02,8598.18,3691.5,5023.16,113.89,0.0,1.0032,1.0,0.0
BE,2020-04-13,15,495631.42,21265.37,9070.87,10943.58,6976.8,3652.09,140.0,1.0,1.0034,1.0062,0.0
BE,2020-04-20,16,478177.06,19985.44,7551.43,8966.66,6505.25,4768.29,111.95,0.0,1.0037,1.0134,0.0
BE,2020-04-27,17,492524.83,22992.98,12618.34,9561.91,5501.94,5810.64,110.37,0.0,1.0039,1.0223,0.0
BE,2020-05-04,18,480356.31,20900.17,9165.62,9542.45,6521.45,3451.81,105.25,0.0,1.0041,1.0339,0.0
BE,2020-05-11,19,518071.39,16281.45,12778.52,10289.28,6445.71,5916.47,91.53,0.0,1.0044,1.0485,0.0
BE,2020-05-18,20,517172.69,17862.41,10330.57,9186.27,4857.27,4425.79,109.95,0.0,1.0046,1.0665,1.0
BE,2020-05-25,21,490660.11,19079.89,10739.03,7987.63,6488.56,3705.0,88.99,0.0,1.0048,1.0879,0.0
BE,2020-06-01,22,543040.43,20989.85,9575.68,10170.13,7435.54,3284.92,87.89,0.0,1.0051,1.1122,0.0
BE,2020-06-08,23,542753.33,19729.75,4617.68,11948.68,5638.56,3762.71,87.26,1.0,1.0053,1.1391,0.0
BE,2020-06-15,24,531803.48,20189.2,7484.61,9935.92,4803.69,2359.54,109.76,0.0,1.0055,1.1674,0.0
BE,2020-06-22,25,568898.76,13237.07,9283.19,8361.19,5510.64,3492.7,99.43,1.0,1.0058,1.1963,0.0
BE,2020-06-29,26,560085.23,21200.68,10038.09,9125.21,6572.83,3545.47,101.01,0.0,1.006,1.2242,0.0
BE,2020-07-06,27,580277.88,18389.73,5899.67,5420.1,4160.98,2885.65,99.85,1.0,1.0062,1.25,0.0
BE,2020-07-13,28,567077.92,27262.05,8927.19,8772.34,6040.86,4149.45,88.74,0.0,1.0064,1.2721,0.0
BE,2020-07-20,29,603569.0,16353.79,6874.53,8154.34,4597.26,3390.51,93.29,1.0,1.0067,1.2892,0.0
BE,2020-07-27,30,574820.51,18550.03,9120.23,7085.1,5479.92,3041.49,93.8,0.0,1.0069,1.3001,0.0
BE,2020-08-03,31,586672.1,26833.13,8535.02,7279.43,4560.72,3204.3,85.95,0.0,1.0071,1.3037,0.0
BE,2020-08-10,32,582087.3,17528.29,9691.18,7744.45,4487.94,3614.33,94.96,0.0,1.0074,1.2992,0.0
BE,2020-08-17,33,600662.12,16412.09,10093.45,9969.73,6511.53,3376.15,89.19,0.0,1.0076,1.2864,0.0
BE,2020-08-24,34,573219.69,13188.21,8969.96,10010.19,3540.25,2825.58,105.78,0.0,1.0078,1.2651,0.0
BE,2020-08-31,35,541485.92,21229.4,9528.77,6620.71,5351.39,3333.64,106.61,0.0,1.0081,1.2355,0.0
BE,2020-09-07,36,538667.35,12386.06,7497.07,7226.61,6512.12,3192.1,87.06,0.0,1.0083,1.1985,1.0
BE,2020-09-14,37,526340.21,17395.58,12537.74,7223.81,5467.15,2474.84,97.03,0.0,1.0085,1.155,0.0
BE,2020-09-21,38,489727.13,14456.5,6038.14,9277.23,3515.31,3009.5,118.56,0.0,1.0088,1.1063,0.0
BE,2020-09-28,39,475113.05,15348.02,7134.16,8208.15,3558.99,3560.08,90.19,0.0,1.009,1.0541,0.0
BE,2020-10-05,40,440129.66,11426.44,9428.17,8136.38,4072.39,3560.88,104.27,0.0,1.0092,1.0,0.0
BE,2020-10-12,41,439629.91,20350.32,9228.08,8880.85,4964.35,3060.69,101.06,0.0,1.0094,0.9459,0.0
BE,2020-10-19,42,480969.38,15249.05,8860.0,7110.08,5062.72,3666.31,110.93,1.0,1.0097,0.8937,0.0
BE,2020-10-26,43,433695.54,12330.83,9244.79,10366.43,3643.92,2619.38,102.95,1.0,1.0099,0.845,0.0
BE,2020-11-02,44,447424.49,20595.45,4803.17,8231.76,4078.36,2668.69,95.69,1.0,1.0101,0.8015,0.0
BE,2020-11-09,45,419516.24,15000.88,10992.92,6913.57,4192.62,3168.93,100.67,1.0,1.0104,0.7645,0.0
BE,2020-11-16,46,393820.44,18060.39,8118.65,8075.06,4894.7,4399.52,100.81,0.0,1.0106,0.7349,0.0
BE,2020-11-23,47,381851.05,20093.94,10742.65,10718.63,7208.01,3552.22,99.08,0.0,1.0108,0.7136,0.0
BE,2020-11-30,48,386549.49,19153.65,5189.85,8003.72,4268.93,3306.3,86.81,0.0,1.0111,0.7008,0.0
BE,2020-12-07,49,403994.35,9985.43,9361.8,10596.0,4298.96,4661.97,112.43,0.0,1.0113,0.6963,0.0
BE,2020-12-14,50,397982.86,20661.81,8047.44,7935.26,4208.5,3419.64,110.66,0.0,1.0115,0.6999,0.0
BE,2020-12-21,51,399432.28,18106.79,10296.51,7824.47,6248.23,5347.52,89.56,0.0,1.0118,0.7108,0.0
BE,2020-12-28,52,389682.03,17584.53,10008.43,10653.17,5600.27,3379.68,96.99,0.0,1.012,0.7279,0.0
BE,2021-01-04,53,393372.27,18749.78,10285.6,7908.74,4719.65,3057.88,97.75,0.0,1.0122,0.75,0.0
BE,2021-01-11,54,406879.96,13226.2,7688.16,11358.52,5427.71,3771.76,88.43,0.0,1.0125,0.7758,0.0
BE,2021-01-18,55,448437.16,20600.53,9806.02,10616.59,5009.3,3769.96,81.33,0.0,1.0127,0.8037,0.0
BE,2021-01-25,56,454154.03,14654.28,9713.81,8316.28,6403.95,3379.62,93.29,0.0,1.0129,0.8326,0.0
BE,2021-02-01,57,453771.06,19281.45,11238.22,10079.18,9428.99,6218.59,96.44,0.0,1.0132,0.8609,0.0
BE,2021-02-08,58,459076.77,21371.7,12412.23,9224.73,6902.17,4408.93,85.59,0.0,1.0134,0.8878,0.0
BE,2021-02-15,59,491284.06,25474.82,10800.68,11216.94,6174.08,4583.47,101.77,0.0,1.0136,0.9121,0.0
BE,2021-02-22,60,457361.26,17712.9,7889.2,14592.3,5510.44,3845.73,111.63,0.0,1.0139,0.9335,0.0
BE,2021-03-01,61,492207.32,27570.65,10913.54,9891.57,4687.91,3779.74,108.42,1.0,1.0141,0.9515,0.0
BE,2021-03-08,62,515317.45,25586.33,16373.32,11904.53,7400.76,5184.99,98.73,1.0,1.0143,0.9661,0.0
BE,2021-03-15,63,485204.2,19762.43,14368.08,10862.4,7366.96,2874.61,81.6,0.0,1.0146,0.9777,0.0
BE,2021-03-22,64,472648.19,16876.9,4392.66,10895.02,5899.25,3345.79,107.16,0.0,1.0148,0.9866,0.0
BE,2021-03-29,65,479990.9,15441.9,10993.19,10496.98,8093.98,4127.49,101.46,0.0,1.015,0.9938,0.0
BE,2021-04-05,66,540872.18,22874.83,12870.12,8987.61,6536.17,5511.61,104.24,1.0,1.0153,1.0,1.0
BE,2021-04-12,67,521047.62,18448.15,10424.95,11544.69,7497.59,4003.63,119.36,0.0,1.0155,1.0062,0.0
BE,2021-04-19,68,505270.49,26709.46,9779.93,10149.05,6845.48,4667.02,91.75,0.0,1.0157,1.0134,0.0
BE,2021-04-26,69,513481.75,18497.33,10131.81,8766.42,6194.46,4305.06,71.25,0.0,1.016,1.0223,1.0
BE,2021-05-03,70,502655.29,17409.34,11789.73,12770.72,5153.73,5347.88,89.47,0.0,1.0162,1.0339,0.0
BE,2021-05-10,71,505916.49,22010.6,8099.02,10722.23,6124.8,2872.67,104.86,0.0,1.0164,1.0485,0.0
BE,2021-05-17,72,508092.77,17938.0,12866.71,9921.11,7287.61,4770.18,100.27,0.0,1.0167,1.0665,0.0
BE,2021-05-24,73,536677.87,20560.86,10147.95,13013.45,5531.94,3941.85,87.84,0.0,1.0169,1.0879,1.0
BE,2021-05-31,74,542868.63,24227.95,8226.38,6402.89,6605.11,4796.13,85.8,0.0,1.0171,1.1122,1.0
BE,2021-06-07,75,534827.73,20396.55,12205.4,12501.29,4684.1,3332.75,96.45,0.0,1.0174,1.1391,0.0
BE,2021-06-14,76,540930.27,20080.89,6773.81,8077.53,6799.62,3940.44,87.54,0.0,1.0176,1.1674,0.0
BE,2021-06-21,77,563009.93,20064.54,8566.78,10044.58,6144.02,3775.72,105.21,1.0,1.0178,1.1963,0.0
BE,2021-06-28,78,548510.19,12523.76,8385.39,8354.36,4314.96,3027.88,95.89,0.0,1.0181,1.2242,0.0
BE,2021-07-05,79,558222.38,20055.16,13286.09,7582.28,5329.34,2767.03,93.73,0.0,1.0183,1.25,0.0
BE,2021-07-12,80,591981.37,18848.65,7881.07,11531.96,6500.06,3228.85,92.42,0.0,1.0185,1.2721,0.0
BE,2021-07-19,81,545126.07,21144.82,5104.26,12300.69,4026.99,3681.43,102.63,0.0,1.0188,1.2892,0.0
BE,2021-07-26,82,612700.2,19768.32,7790.14,8425.93,4156.62,2992.56,100.43,0.0,1.019,1.3001,1.0
BE,2021-08-02,83,582584.72,16641.72,9461.11,9252.87,5130.34,3239.47,102.02,0.0,1.0192,1.3037,0.0
BE,2021-08-09,84,590899.75,20601.56,9876.77,8635.2,7308.43,2127.1,101.8,0.0,1.0195,1.2992,0.0
BE,2021-08-16,85,594853.13,15851.38,12251.34,11332.0,4371.59,3117.73,99.28,0.0,1.0197,1.2864,0.0
BE,2021-08-23,86,562639.58,17450.69,10653.85,4800.46,5482.76,4006.58,89.67,0.0,1.0199,1.2651,1.0
