market,status,r2,mape,nrmse,rmse,best_channel,best_roi,duration,convergence_ok,error
FR,success,0.8237646571253677,4.956149019628329,0.12750540099148272,47784.00695407869,print,3.0505,34.98193693161011,True,
DE,success,0.8002023123323895,4.2444334901656315,0.14082152648404173,53451.46204636175,facebook,3.5425,34.87675976753235,True,
UK,success,-0.03363289622884702,6.872714965647606,0.2532815242401863,74176.82755859756,ooh,4.3881,34.95108199119568,True,
IT,success,0.6779545342395241,8.038851637591717,0.18056201441950126,60528.29820664915,ooh,4.5923,37.3353910446167,True,
ES,success,0.7689834346932365,6.9730134809925755,0.15820869129542342,48364.863644650264,print,5.3191,34.8381130695343,True,
NL,success,0.3626450703113072,5.282681127947651,0.20955144772155043,33322.74758132679,ooh,4.3626,34.9765419960022,True,
BE,success,0.8208848414276594,5.390158196195241,0.13410763197684167,29532.29089818742,facebook,3.1407,35.22786092758179,True,
PL,success,0.8326675056399561,6.220624028226843,0.12895078562888543,31470.459864855195,search,2.4182,34.95679783821106,True,
SE,success,0.11539003969888317,10.252163069134202,0.25599470366815963,68869.04683284367,ooh,2.5033,34.93048405647278,True,
NO,success,0.28484643416777655,8.732310442116486,0.2198983231597816,62232.2567773538,ooh,2.5877,34.866894006729126,True,
